Timestamp,UnitName,HeatProduced,ElectricityProduced,ProductionCost,FuelConsumption,CO2Emissions
08/11/2024 00:00:00,GM1,1.79,2.6,772.11,3.22,1163.5
08/11/2024 01:00:00,GM1,1.85,2.6,881.8,3.33,1202.5
08/11/2024 02:00:00,GM1,1.76,2.6,860.17,3.17,1144
08/11/2024 03:00:00,GM1,1.67,2.6,843.27,3.01,1085.5
08/11/2024 04:00:00,GM1,1.73,2.6,856.41,3.11,1124.5
08/11/2024 05:00:00,GM1,1.79,2.6,901.67,3.22,1163.5
08/11/2024 06:00:00,GM1,1.82,2.6,940.51,3.28,1183
08/11/2024 07:00:00,GM1,1.81,2.6,932.11,3.26,1176.5
08/11/2024 08:00:00,GB1,1.84,0,956.8,1.66,322
08/11/2024 09:00:00,GB1,1.88,0,977.6,1.69,329
08/11/2024 10:00:00,HP1,2,-6,1033.5,0,0
08/11/2024 11:00:00,HP1,1.86,-6,757.76,0,0
08/11/2024 12:00:00,HP1,1.78,-6,576.99,0,0
08/11/2024 13:00:00,HP1,1.6,-6,296.53,0,0
08/11/2024 14:00:00,HP1,1.57,-6,291.2,0,0
08/11/2024 15:00:00,HP1,1.55,-6,558,0,0
08/11/2024 16:00:00,HP1,1.57,-6,811.3,0,0
08/11/2024 17:00:00,GB1,1.53,0,795.6,1.38,267.75
08/11/2024 18:00:00,GM1,1.52,2.6,596.12,2.74,988
08/11/2024 19:00:00,GM1,1.5,2.6,473.79,2.7,975
08/11/2024 20:00:00,GM1,1.5,2.6,408.93,2.7,975
08/11/2024 21:00:00,GM1,1.48,2.6,369.67,2.66,962
08/11/2024 22:00:00,GM1,1.51,2.6,403.58,2.72,981.5
08/11/2024 23:00:00,GM1,1.55,2.6,533.45,2.79,1007.5
08/12/2024 00:00:00,GM1,1.54,2.6,585.6,2.77,1001
08/12/2024 01:00:00,GM1,1.47,2.6,622.05,2.65,955.5
08/12/2024 02:00:00,GM1,1.41,2.6,596.03,2.54,916.5
08/12/2024 03:00:00,GM1,1.43,2.6,655.32,2.57,929.5
08/12/2024 04:00:00,GM1,1.43,2.6,652.52,2.57,929.5
08/12/2024 05:00:00,GM1,1.45,2.6,652.52,2.61,942.5
08/12/2024 06:00:00,GM1,1.47,2.6,679.87,2.65,955.5
08/12/2024 07:00:00,GM1,1.5,2.6,722.83,2.7,975
08/12/2024 08:00:00,GM1,1.62,2.6,825.42,2.92,1053
08/12/2024 09:00:00,GB1,1.7,0,884,1.53,297.5
08/12/2024 10:00:00,HP1,1.74,-6,888.97,0,0
08/12/2024 11:00:00,HP1,1.68,-6,732.31,0,0
08/12/2024 12:00:00,HP1,1.58,-6,636.23,0,0
08/12/2024 13:00:00,HP1,1.45,-6,489.27,0,0
08/12/2024 14:00:00,HP1,1.43,-6,566.82,0,0
08/12/2024 15:00:00,HP1,1.42,-6,672.55,0,0
08/12/2024 16:00:00,GB1,1.47,0,764.4,1.32,257.25
08/12/2024 17:00:00,GB1,1.46,0,759.2,1.31,255.5
08/12/2024 18:00:00,GM1,1.5,2.6,612.43,2.7,975
08/12/2024 19:00:00,GM1,1.5,2.6,463.67,2.7,975
08/12/2024 20:00:00,GM1,1.44,2.6,366.58,2.59,936
08/12/2024 21:00:00,GM1,1.45,2.6,352.16,2.61,942.5
08/12/2024 22:00:00,GM1,1.44,2.6,365.62,2.59,936
08/12/2024 23:00:00,GM1,1.47,2.6,475.78,2.65,955.5
08/13/2024 00:00:00,GM1,1.4,2.6,508.57,2.52,910
08/13/2024 01:00:00,GM1,1.32,2.6,556.66,2.38,858
08/13/2024 02:00:00,GM1,1.28,2.6,594.71,2.3,832
08/13/2024 03:00:00,GM1,1.33,2.6,635.42,2.39,864.5
08/13/2024 04:00:00,GM1,1.35,2.6,634.67,2.43,877.5
08/13/2024 05:00:00,GM1,1.35,2.6,545.7,2.43,877.5
08/13/2024 06:00:00,GM1,1.42,2.6,443.21,2.56,923
08/13/2024 07:00:00,GM1,1.49,2.6,372.84,2.68,968.5
08/13/2024 08:00:00,GM1,1.55,2.6,374.98,2.79,1007.5
08/13/2024 09:00:00,GM1,1.58,2.6,525.9,2.84,1027
08/13/2024 10:00:00,GM1,1.68,2.6,677.78,3.02,1092
08/13/2024 11:00:00,GM1,1.73,2.6,797.13,3.11,1124.5
08/13/2024 12:00:00,GM1,1.68,2.6,828,3.02,1092
08/13/2024 13:00:00,GB1,1.62,0,842.4,1.46,283.5
08/13/2024 14:00:00,GB1,1.51,0,785.2,1.36,264.25
08/13/2024 15:00:00,GB1,1.53,0,795.6,1.38,267.75
08/13/2024 16:00:00,GB1,1.46,0,759.2,1.31,255.5
08/13/2024 17:00:00,GB1,1.51,0,785.2,1.36,264.25
08/13/2024 18:00:00,GM1,1.55,2.6,481.2,2.79,1007.5
08/13/2024 19:00:00,GM1,1.53,2.6,104.01,2.75,994.5
08/13/2024 20:00:00,GM1,1.5,2.6,15.06,2.7,975
08/13/2024 21:00:00,GM1,1.49,2.6,-19.74,2.68,968.5
08/13/2024 22:00:00,GM1,1.47,2.6,120.99,2.65,955.5
08/13/2024 23:00:00,GM1,1.57,2.6,384.81,2.83,1020.5
08/14/2024 00:00:00,GM1,1.53,2.6,454.19,2.75,994.5
08/14/2024 01:00:00,GM1,1.54,2.6,531.55,2.77,1001
08/14/2024 02:00:00,GM1,1.42,2.6,572.8,2.56,923
08/14/2024 03:00:00,GM1,1.46,2.6,626.44,2.63,949
08/14/2024 04:00:00,GM1,1.48,2.6,643.1,2.66,962
08/14/2024 05:00:00,GM1,1.56,2.6,564.53,2.81,1014
08/14/2024 06:00:00,GM1,1.6,2.6,482.63,2.88,1040
08/14/2024 07:00:00,GM1,1.68,2.6,489.54,3.02,1092
08/14/2024 08:00:00,GM1,1.8,2.6,569.04,3.24,1170
08/14/2024 09:00:00,GM1,1.78,2.6,719.91,3.2,1157
08/14/2024 10:00:00,GM1,1.83,2.6,878.07,3.29,1189.5
08/14/2024 11:00:00,GB1,1.92,0,998.4,1.73,336
08/14/2024 12:00:00,HP1,1.93,-6,931.9,0,0
08/14/2024 13:00:00,HP1,1.91,-6,779.15,0,0
08/14/2024 14:00:00,HP1,1.72,-6,714.54,0,0
08/14/2024 15:00:00,HP1,1.64,-6,810.32,0,0
08/14/2024 16:00:00,GB1,1.59,0,826.8,1.43,278.25
08/14/2024 17:00:00,GM1,1.53,2.6,720.92,2.75,994.5
08/14/2024 18:00:00,GM1,1.61,2.6,571.32,2.9,1046.5
08/14/2024 19:00:00,GM1,1.69,2.6,340.3,3.04,1098.5
08/14/2024 20:00:00,GM1,1.65,2.6,162.46,2.97,1072.5
08/14/2024 21:00:00,GM1,1.62,2.6,393.54,2.92,1053
08/14/2024 22:00:00,GM1,1.56,2.6,510.12,2.81,1014
08/14/2024 23:00:00,GM1,1.62,2.6,673.87,2.92,1053
08/15/2024 00:00:00,GM1,1.7,2.6,750.34,3.06,1105
08/15/2024 01:00:00,GM1,1.66,2.6,801.78,2.99,1079
08/15/2024 02:00:00,GM1,1.62,2.6,791.49,2.92,1053
08/15/2024 03:00:00,GB1,1.55,0,806,1.4,271.25
08/15/2024 04:00:00,GB1,1.58,0,821.6,1.42,276.5
08/15/2024 05:00:00,GB1,1.61,0,837.2,1.45,281.75
08/15/2024 06:00:00,GM1,1.66,2.6,827.49,2.99,1079
08/15/2024 07:00:00,GM1,1.75,2.6,607.35,3.15,1137.5
08/15/2024 08:00:00,GM1,1.78,2.6,572.14,3.2,1157
08/15/2024 09:00:00,GM1,1.76,2.6,738.97,3.17,1144
08/15/2024 10:00:00,GB1,1.76,0,915.2,1.58,308
08/15/2024 11:00:00,HP1,1.94,-6,855.11,0,0
08/15/2024 12:00:00,HP1,1.86,-6,333,0,0
08/15/2024 13:00:00,HP1,1.79,-6,280.85,0,0
08/15/2024 14:00:00,HP1,1.62,-6,332.07,0,0
08/15/2024 15:00:00,HP1,1.55,-6,407.23,0,0
08/15/2024 16:00:00,HP1,1.55,-6,435.83,0,0
08/15/2024 17:00:00,HP1,1.53,-6,594.63,0,0
08/15/2024 18:00:00,HP1,1.56,-6,679.3,0,0
08/15/2024 19:00:00,GB1,1.59,0,826.8,1.43,278.25
08/15/2024 20:00:00,GM1,1.61,2.6,346.17,2.9,1046.5
08/15/2024 21:00:00,GM1,1.61,2.6,470.86,2.9,1046.5
08/15/2024 22:00:00,GM1,1.67,2.6,480.86,3.01,1085.5
08/15/2024 23:00:00,GM1,1.66,2.6,589.89,2.99,1079
08/16/2024 00:00:00,GM1,1.67,2.6,677.09,3.01,1085.5
08/16/2024 01:00:00,GM1,1.65,2.6,846.04,2.97,1072.5
08/16/2024 02:00:00,GB1,1.6,0,832,1.44,280
08/16/2024 03:00:00,GB1,1.55,0,806,1.4,271.25
08/16/2024 04:00:00,GB1,1.6,0,832,1.44,280
08/16/2024 05:00:00,GM1,1.68,2.6,834.74,3.02,1092
08/16/2024 06:00:00,GM1,1.71,2.6,718.93,3.08,1111.5
08/16/2024 07:00:00,GM1,1.78,2.6,666.65,3.2,1157
08/16/2024 08:00:00,GM1,2.04,2.6,665.94,3.67,1326
08/16/2024 09:00:00,GM1,2.02,2.6,1021.13,3.64,1313
08/16/2024 10:00:00,HP1,1.8,-6,766.4,0,0
08/16/2024 11:00:00,HP1,1.73,-6,721.29,0,0
08/16/2024 12:00:00,HP1,1.72,-6,740.34,0,0
08/16/2024 13:00:00,HP1,1.62,-6,662.18,0,0
08/16/2024 14:00:00,HP1,1.62,-6,662.18,0,0
08/16/2024 15:00:00,HP1,1.67,-6,685.75,0,0
08/16/2024 16:00:00,HP1,1.61,-6,640.83,0,0
08/16/2024 17:00:00,HP1,1.65,-6,679.77,0,0
08/16/2024 18:00:00,HP1,1.65,-6,788.17,0,0
08/16/2024 19:00:00,GM1,1.67,2.6,577.44,3.01,1085.5
08/16/2024 20:00:00,GM1,1.68,2.6,438.35,3.02,1092
08/16/2024 21:00:00,GM1,1.62,2.6,359.24,2.92,1053
08/16/2024 22:00:00,GM1,1.61,2.6,430.75,2.9,1046.5
08/16/2024 23:00:00,GM1,1.7,2.6,568.02,3.06,1105
08/17/2024 00:00:00,GM1,1.71,2.6,730.66,3.08,1111.5
08/17/2024 01:00:00,GM1,1.75,2.6,792.99,3.15,1137.5
08/17/2024 02:00:00,GM1,1.66,2.6,861.43,2.99,1079
08/17/2024 03:00:00,GB1,1.64,0,852.8,1.48,287
08/17/2024 04:00:00,GM1,1.7,2.6,798.84,3.06,1105
08/17/2024 05:00:00,GM1,1.78,2.6,776.93,3.2,1157
08/17/2024 06:00:00,GM1,1.8,2.6,638.74,3.24,1170
08/17/2024 07:00:00,GM1,1.78,2.6,631.65,3.2,1157
08/17/2024 08:00:00,GM1,1.82,2.6,749.67,3.28,1183
08/17/2024 09:00:00,GM1,1.9,2.6,980.47,3.42,1235
08/17/2024 10:00:00,GB1,1.86,0,967.2,1.67,325.5
08/17/2024 11:00:00,GB1,1.88,0,977.6,1.69,329
08/17/2024 12:00:00,GB1,1.83,0,951.6,1.65,320.25
08/17/2024 13:00:00,GB1,1.76,0,915.2,1.58,308
08/17/2024 14:00:00,GB1,1.63,0,847.6,1.47,285.25
08/17/2024 15:00:00,GB1,1.57,0,816.4,1.41,274.75
08/17/2024 16:00:00,GB1,1.55,0,806,1.4,271.25
08/17/2024 17:00:00,GM1,1.54,2.6,688.39,2.77,1001
08/17/2024 18:00:00,GM1,1.56,2.6,542.71,2.81,1014
08/17/2024 19:00:00,GM1,1.56,2.6,325.94,2.81,1014
08/17/2024 20:00:00,GM1,1.59,2.6,334.61,2.86,1033.5
08/17/2024 21:00:00,GM1,1.57,2.6,470.35,2.83,1020.5
08/17/2024 22:00:00,GM1,1.55,2.6,711.94,2.79,1007.5
08/17/2024 23:00:00,GB1,1.62,0,842.4,1.46,283.5
08/18/2024 00:00:00,GM1,1.79,2.6,772.11,3.22,1163.5
08/18/2024 01:00:00,GM1,1.85,2.6,881.8,3.33,1202.5
08/18/2024 02:00:00,GM1,1.76,2.6,860.17,3.17,1144
08/18/2024 03:00:00,GM1,1.67,2.6,843.27,3.01,1085.5
08/18/2024 04:00:00,GM1,1.73,2.6,856.41,3.11,1124.5
08/18/2024 05:00:00,GM1,1.79,2.6,901.67,3.22,1163.5
08/18/2024 06:00:00,GM1,1.82,2.6,940.51,3.28,1183
08/18/2024 07:00:00,GM1,1.81,2.6,932.11,3.26,1176.5
08/18/2024 08:00:00,GB1,1.84,0,956.8,1.66,322
08/18/2024 09:00:00,GB1,1.88,0,977.6,1.69,329
08/18/2024 10:00:00,HP1,2,-6,1033.5,0,0
08/18/2024 11:00:00,HP1,1.86,-6,757.76,0,0
08/18/2024 12:00:00,HP1,1.78,-6,576.99,0,0
08/18/2024 13:00:00,HP1,1.6,-6,296.53,0,0
08/18/2024 14:00:00,HP1,1.57,-6,291.2,0,0
08/18/2024 15:00:00,HP1,1.55,-6,558,0,0
08/18/2024 16:00:00,HP1,1.57,-6,811.3,0,0
08/18/2024 17:00:00,GB1,1.53,0,795.6,1.38,267.75
08/18/2024 18:00:00,GM1,1.52,2.6,596.12,2.74,988
08/18/2024 19:00:00,GM1,1.5,2.6,473.79,2.7,975
08/18/2024 20:00:00,GM1,1.5,2.6,408.93,2.7,975
08/18/2024 21:00:00,GM1,1.48,2.6,369.67,2.66,962
08/18/2024 22:00:00,GM1,1.51,2.6,403.58,2.72,981.5
08/18/2024 23:00:00,GM1,1.55,2.6,533.45,2.79,1007.5
08/19/2024 00:00:00,GM1,1.54,2.6,585.6,2.77,1001
08/19/2024 01:00:00,GM1,1.47,2.6,622.05,2.65,955.5
08/19/2024 02:00:00,GM1,1.41,2.6,596.03,2.54,916.5
08/19/2024 03:00:00,GM1,1.43,2.6,655.32,2.57,929.5
08/19/2024 04:00:00,GM1,1.43,2.6,652.52,2.57,929.5
08/19/2024 05:00:00,GM1,1.45,2.6,652.52,2.61,942.5
08/19/2024 06:00:00,GM1,1.47,2.6,679.87,2.65,955.5
08/19/2024 07:00:00,GM1,1.5,2.6,722.83,2.7,975
08/19/2024 08:00:00,GM1,1.62,2.6,825.42,2.92,1053
08/19/2024 09:00:00,GB1,1.7,0,884,1.53,297.5
08/19/2024 10:00:00,HP1,1.74,-6,888.97,0,0
08/19/2024 11:00:00,HP1,1.68,-6,732.31,0,0
08/19/2024 12:00:00,HP1,1.58,-6,636.23,0,0
08/19/2024 13:00:00,HP1,1.45,-6,489.27,0,0
08/19/2024 14:00:00,HP1,1.43,-6,566.82,0,0
08/19/2024 15:00:00,HP1,1.42,-6,672.55,0,0
08/19/2024 16:00:00,GB1,1.47,0,764.4,1.32,257.25
08/19/2024 17:00:00,GB1,1.46,0,759.2,1.31,255.5
08/19/2024 18:00:00,GM1,1.5,2.6,612.43,2.7,975
08/19/2024 19:00:00,GM1,1.5,2.6,463.67,2.7,975
08/19/2024 20:00:00,GM1,1.44,2.6,366.58,2.59,936
08/19/2024 21:00:00,GM1,1.45,2.6,352.16,2.61,942.5
08/19/2024 22:00:00,GM1,1.44,2.6,365.62,2.59,936
08/19/2024 23:00:00,GM1,1.47,2.6,475.78,2.65,955.5
08/20/2024 00:00:00,GM1,1.4,2.6,508.57,2.52,910
08/20/2024 01:00:00,GM1,1.32,2.6,556.66,2.38,858
08/20/2024 02:00:00,GM1,1.28,2.6,594.71,2.3,832
08/20/2024 03:00:00,GM1,1.33,2.6,635.42,2.39,864.5
08/20/2024 04:00:00,GM1,1.35,2.6,634.67,2.43,877.5
08/20/2024 05:00:00,GM1,1.35,2.6,545.7,2.43,877.5
08/20/2024 06:00:00,GM1,1.42,2.6,443.21,2.56,923
08/20/2024 07:00:00,GM1,1.49,2.6,372.84,2.68,968.5
08/20/2024 08:00:00,GM1,1.55,2.6,374.98,2.79,1007.5
08/20/2024 09:00:00,GM1,1.58,2.6,525.9,2.84,1027
08/20/2024 10:00:00,GM1,1.68,2.6,677.78,3.02,1092
08/20/2024 11:00:00,GM1,1.73,2.6,797.13,3.11,1124.5
08/20/2024 12:00:00,GM1,1.68,2.6,828,3.02,1092
08/20/2024 13:00:00,GB1,1.62,0,842.4,1.46,283.5
08/20/2024 14:00:00,GB1,1.51,0,785.2,1.36,264.25
08/20/2024 15:00:00,GB1,1.53,0,795.6,1.38,267.75
08/20/2024 16:00:00,GB1,1.46,0,759.2,1.31,255.5
08/20/2024 17:00:00,GB1,1.51,0,785.2,1.36,264.25
08/20/2024 18:00:00,GM1,1.55,2.6,481.2,2.79,1007.5
08/20/2024 19:00:00,GM1,1.53,2.6,104.01,2.75,994.5
08/20/2024 20:00:00,GM1,1.5,2.6,15.06,2.7,975
08/20/2024 21:00:00,GM1,1.49,2.6,-19.74,2.68,968.5
08/20/2024 22:00:00,GM1,1.47,2.6,120.99,2.65,955.5
08/20/2024 23:00:00,GM1,1.57,2.6,384.81,2.83,1020.5
08/21/2024 00:00:00,GM1,1.53,2.6,454.19,2.75,994.5
08/21/2024 01:00:00,GM1,1.54,2.6,531.55,2.77,1001
08/21/2024 02:00:00,GM1,1.42,2.6,572.8,2.56,923
08/21/2024 03:00:00,GM1,1.46,2.6,626.44,2.63,949
08/21/2024 04:00:00,GM1,1.48,2.6,643.1,2.66,962
08/21/2024 05:00:00,GM1,1.56,2.6,564.53,2.81,1014
08/21/2024 06:00:00,GM1,1.6,2.6,482.63,2.88,1040
08/21/2024 07:00:00,GM1,1.68,2.6,489.54,3.02,1092
08/21/2024 08:00:00,GM1,1.8,2.6,569.04,3.24,1170
08/21/2024 09:00:00,GM1,1.78,2.6,719.91,3.2,1157
08/21/2024 10:00:00,GM1,1.83,2.6,878.07,3.29,1189.5
08/21/2024 11:00:00,GB1,1.92,0,998.4,1.73,336
08/21/2024 12:00:00,HP1,1.93,-6,931.9,0,0
08/21/2024 13:00:00,HP1,1.91,-6,779.15,0,0
08/21/2024 14:00:00,HP1,1.72,-6,714.54,0,0
08/21/2024 15:00:00,HP1,1.64,-6,810.32,0,0
08/21/2024 16:00:00,GB1,1.59,0,826.8,1.43,278.25
08/21/2024 17:00:00,GM1,1.53,2.6,720.92,2.75,994.5
08/21/2024 18:00:00,GM1,1.61,2.6,571.32,2.9,1046.5
08/21/2024 19:00:00,GM1,1.69,2.6,340.3,3.04,1098.5
08/21/2024 20:00:00,GM1,1.65,2.6,162.46,2.97,1072.5
08/21/2024 21:00:00,GM1,1.62,2.6,393.54,2.92,1053
08/21/2024 22:00:00,GM1,1.56,2.6,510.12,2.81,1014
08/21/2024 23:00:00,GM1,1.62,2.6,673.87,2.92,1053
08/22/2024 00:00:00,GM1,1.7,2.6,750.34,3.06,1105
08/22/2024 01:00:00,GM1,1.66,2.6,801.78,2.99,1079
08/22/2024 02:00:00,GM1,1.62,2.6,791.49,2.92,1053
08/22/2024 03:00:00,GB1,1.55,0,806,1.4,271.25
08/22/2024 04:00:00,GB1,1.58,0,821.6,1.42,276.5
08/22/2024 05:00:00,GB1,1.61,0,837.2,1.45,281.75
08/22/2024 06:00:00,GM1,1.66,2.6,827.49,2.99,1079
08/22/2024 07:00:00,GM1,1.75,2.6,607.35,3.15,1137.5
08/22/2024 08:00:00,GM1,1.78,2.6,572.14,3.2,1157
08/22/2024 09:00:00,GM1,1.76,2.6,738.97,3.17,1144
08/22/2024 10:00:00,GB1,1.76,0,915.2,1.58,308
08/22/2024 11:00:00,HP1,1.94,-6,855.11,0,0
08/22/2024 12:00:00,HP1,1.86,-6,333,0,0
08/22/2024 13:00:00,HP1,1.79,-6,280.85,0,0
08/22/2024 14:00:00,HP1,1.62,-6,332.07,0,0
08/22/2024 15:00:00,HP1,1.55,-6,407.23,0,0
08/22/2024 16:00:00,HP1,1.55,-6,435.83,0,0
08/22/2024 17:00:00,HP1,1.53,-6,594.63,0,0
08/22/2024 18:00:00,HP1,1.56,-6,679.3,0,0
08/22/2024 19:00:00,GB1,1.59,0,826.8,1.43,278.25
08/22/2024 20:00:00,GM1,1.61,2.6,346.17,2.9,1046.5
08/22/2024 21:00:00,GM1,1.61,2.6,470.86,2.9,1046.5
08/22/2024 22:00:00,GM1,1.67,2.6,480.86,3.01,1085.5
08/22/2024 23:00:00,GM1,1.66,2.6,589.89,2.99,1079
08/23/2024 00:00:00,GM1,1.67,2.6,677.09,3.01,1085.5
08/23/2024 01:00:00,GM1,1.65,2.6,846.04,2.97,1072.5
08/23/2024 02:00:00,GB1,1.6,0,832,1.44,280
08/23/2024 03:00:00,GB1,1.55,0,806,1.4,271.25
08/23/2024 04:00:00,GB1,1.6,0,832,1.44,280
08/23/2024 05:00:00,GM1,1.68,2.6,834.74,3.02,1092
08/23/2024 06:00:00,GM1,1.71,2.6,718.93,3.08,1111.5
08/23/2024 07:00:00,GM1,1.78,2.6,666.65,3.2,1157
08/23/2024 08:00:00,GM1,2.04,2.6,665.94,3.67,1326
08/23/2024 09:00:00,GM1,2.02,2.6,1021.13,3.64,1313
08/23/2024 10:00:00,HP1,1.8,-6,766.4,0,0
08/23/2024 11:00:00,HP1,1.73,-6,721.29,0,0
08/23/2024 12:00:00,HP1,1.72,-6,740.34,0,0
08/23/2024 13:00:00,HP1,1.62,-6,662.18,0,0
08/23/2024 14:00:00,HP1,1.62,-6,662.18,0,0
08/23/2024 15:00:00,HP1,1.67,-6,685.75,0,0
08/23/2024 16:00:00,HP1,1.61,-6,640.83,0,0
08/23/2024 17:00:00,HP1,1.65,-6,679.77,0,0
08/23/2024 18:00:00,HP1,1.65,-6,788.17,0,0
08/23/2024 19:00:00,GM1,1.67,2.6,577.44,3.01,1085.5
08/23/2024 20:00:00,GM1,1.68,2.6,438.35,3.02,1092
08/23/2024 21:00:00,GM1,1.62,2.6,359.24,2.92,1053
08/23/2024 22:00:00,GM1,1.61,2.6,430.75,2.9,1046.5
08/23/2024 23:00:00,GM1,1.7,2.6,568.02,3.06,1105
08/24/2024 00:00:00,GM1,1.71,2.6,730.66,3.08,1111.5
08/24/2024 01:00:00,GM1,1.75,2.6,792.99,3.15,1137.5
08/24/2024 02:00:00,GM1,1.66,2.6,861.43,2.99,1079
08/24/2024 03:00:00,GB1,1.64,0,852.8,1.48,287
08/24/2024 04:00:00,GM1,1.7,2.6,798.84,3.06,1105
08/24/2024 05:00:00,GM1,1.78,2.6,776.93,3.2,1157
08/24/2024 06:00:00,GM1,1.8,2.6,638.74,3.24,1170
08/24/2024 07:00:00,GM1,1.78,2.6,631.65,3.2,1157
08/24/2024 08:00:00,GM1,1.82,2.6,749.67,3.28,1183
08/24/2024 09:00:00,GM1,1.9,2.6,980.47,3.42,1235
08/24/2024 10:00:00,GB1,1.86,0,967.2,1.67,325.5
08/24/2024 11:00:00,GB1,1.88,0,977.6,1.69,329
08/24/2024 12:00:00,GB1,1.83,0,951.6,1.65,320.25
08/24/2024 13:00:00,GB1,1.76,0,915.2,1.58,308
08/24/2024 14:00:00,GB1,1.63,0,847.6,1.47,285.25
08/24/2024 15:00:00,GB1,1.57,0,816.4,1.41,274.75
08/24/2024 16:00:00,GB1,1.55,0,806,1.4,271.25
08/24/2024 17:00:00,GM1,1.54,2.6,688.39,2.77,1001
08/24/2024 18:00:00,GM1,1.56,2.6,542.71,2.81,1014
08/24/2024 19:00:00,GM1,1.56,2.6,325.94,2.81,1014
08/24/2024 20:00:00,GM1,1.59,2.6,334.61,2.86,1033.5
08/24/2024 21:00:00,GM1,1.57,2.6,470.35,2.83,1020.5
08/24/2024 22:00:00,GM1,1.55,2.6,711.94,2.79,1007.5
08/24/2024 23:00:00,GB1,1.62,0,842.4,1.46,283.5
